C	Clicks	Iterative	MAP@10	MAP@15	MAP@20	MAP@5	MAP@50	Model	NDCG	Precision@10	Precision@15	Precision@20	Precision@5	Precision@50	R-Precision	Recall@10	Recall@15	Recall@20	Recall@5	Recall@50	SampleFromAll
0.0	0.11181102362204724	True	0.5262529683789526	0.4923035133428834	0.4651596153072257	0.5732440944881889	0.3610195293310306	Greedy	0.23409158967584	0.4554330708661417	0.4051443569553805	0.3692913385826772	0.527244094488189	0.2427716535433071	0.17005351100654814	0.06495644076752642	0.086163142423524	0.10431573178236984	0.03808571202385578	0.17250414859554866	True
0.0	0.07196850393700788	True	0.5849784401949756	0.5541455438699533	0.5301749690452672	0.6279842519685039	0.4388515027417668	Greedy	0.3006992789558481	0.5187401574803149	0.4766404199475066	0.4473228346456693	0.5788976377952756	0.32875590551181105	0.23319401141708976	0.07553247283955321	0.1035315810156937	0.12936679860035902	0.0422615612811136	0.2368532031801088	False
0.0	0.11338582677165356	False	0.5151018622672165	0.4817023367417068	0.4545813854814215	0.5586509186351706	0.3498019645093017	Greedy	0.2249272020765844	0.4444094488188976	0.3958005249343832	0.35834645669291343	0.5177952755905512	0.23218897637795274	0.16207226104611272	0.06344185983057417	0.08408130143184878	0.10096101772649696	0.03731505152474912	0.16388068874368322	True
0.0	0.06456692913385828	False	0.6030145606799151	0.5720991277605451	0.5457740314827659	0.6431023622047244	0.44180598688916783	Greedy	0.2953964150209128	0.5395275590551182	0.4939632545931758	0.4522834645669292	0.6009448818897638	0.3159685039370079	0.2242886400425877	0.07844560177581827	0.1074501646410586	0.1307054212637752	0.04402428759389413	0.2270501241813332	False
0.0	0.1141732283464567	True	0.5228899512560929	0.4893796378599529	0.4615498446362395	0.5666509186351706	0.3571963044690423	ThompsonSampling	0.2304450169105453	0.4540157480314961	0.40199475065616797	0.3649606299212598	0.5262992125984252	0.23851968503937004	0.1665686283651524	0.06480472741214963	0.08537201089359438	0.1032246878801291	0.037927938471299584	0.16883835277573908	True
0.0	0.07464566929133859	True	0.5812510936132983	0.5525992648354853	0.529043693715173	0.6201049868766404	0.438196832846894	ThompsonSampling	0.2989324967848906	0.5220472440944882	0.4785301837270342	0.4445669291338583	0.5748031496062992	0.32686614173228346	0.23158016228998105	0.07548233116003622	0.10386389358196828	0.12813300738756273	0.04169631999559203	0.2356094723503653	False
0.0	0.13858267716535433	False	0.481982939632546	0.4490389217082131	0.4232000119854603	0.5288241469816273	0.3308104363458452	ThompsonSampling	0.21801291789601035	0.4121259842519685	0.3654593175853018	0.3328346456692913	0.4733858267716536	0.2291968503937008	0.1603418595603364	0.058559072102068274	0.07766336334226842	0.09429254374793936	0.033965592790359045	0.1623572375182971	True
0.0	0.0815748031496063	False	0.5652178477690288	0.5384731960952432	0.5146207402438997	0.5968713910761154	0.4197256417749975	ThompsonSampling	0.2839063071058256	0.5140157480314961	0.4681364829396325	0.4278740157480316	0.5628346456692913	0.3060472440944882	0.21794175331687884	0.07524200880768768	0.10235166509898364	0.12449942723090085	0.041392867467719606	0.2212271469502158	False
1.0	0.11181102362204724	True	0.525278590176228	0.4905938366095846	0.4630290385359314	0.5696850393700787	0.3585836958000074	UCB	0.2314842364074983	0.4525984251968504	0.4023097112860892	0.3655905511811024	0.5291338582677165	0.2398425196850394	0.1676605066974525	0.0644145480498308	0.08543490139378927	0.10329996617287487	0.03810409631006958	0.1701967871298848	True
1.0	0.06850393700787402	True	0.5850931133608299	0.5564286713578053	0.5330378303861641	0.6253805774278215	0.4407180129679669	UCB	0.30037005751955786	0.5236220472440944	0.4826246719160106	0.4507874015748031	0.5874015748031496	0.3283779527559055	0.2322085437381863	0.0760410633012379	0.10480897318184818	0.13003267386016254	0.043136190928893994	0.2362498531226541	False
