Iterative,R-Precision,NDCG,MAP@5,MAP@10,Precision@5,Precision@10,Recall@5,Recall@10
False,0.1603,0.2181,0.5315,0.4845,0.4825,0.4111,0.0345,0.0585
True,0.1686,0.2329,0.5731,0.5284,0.5315,0.4573,0.0383,0.0652
