Iterative,R-Precision,NDCG,MAP@5,MAP@10,Precision@5,Precision@10,Recall@5,Recall@10
False,0.2214,0.2918,0.6383,0.5977,0.5986,0.5317,0.0438,0.0775
True,0.2313,0.3001,0.6318,0.5897,0.5888,0.5279,0.0431,0.0768
