Model,C,R-Precision,NDCG,MAP@5,MAP@10,Precision@5,Precision@10,Recall@5,Recall@10
Greedy,0,0.1610,0.2243,0.5595,0.5162,0.5191,0.4467,0.0374,0.0636
ThompsonSampling,0,0.1609,0.2175,0.5184,0.4746,0.4704,0.4073,0.0338,0.0578
UCB,0.5,0.1613,0.2221,0.5488,0.5030,0.4998,0.4306,0.0359,0.0613
UCB,1,0.1612,0.2212,0.5414,0.4982,0.4989,0.4304,0.0359,0.0613
UCB,2,0.1603,0.2181,0.5315,0.4845,0.4825,0.4111,0.0345,0.0585
