Model,C,R-Precision,NDCG,MAP@5,MAP@10,Precision@5,Precision@10,Recall@5,Recall@10
Greedy,0,0.1695,0.2331,0.5679,0.5253,0.5258,0.4567,0.0379,0.0650
ThompsonSampling,0,0.1671,0.2305,0.5613,0.5206,0.5219,0.4535,0.0375,0.0646
UCB,0.5,0.1681,0.2319,0.5683,0.5253,0.5317,0.4574,0.0383,0.0652
UCB,1,0.1691,0.2330,0.5699,0.5261,0.5267,0.4559,0.0379,0.0649
UCB,2,0.1686,0.2329,0.5731,0.5284,0.5315,0.4573,0.0383,0.0652
